Horizonte,Activo,Modelo,Regimen_Real,Regimen_Predicho,Conteo
Regimen actual,AAPL,Persistencia,Bajo,Bajo,199
Regimen actual,AAPL,Persistencia,Bajo,Medio,12
Regimen actual,AAPL,Persistencia,Bajo,Alto,0
Regimen actual,AAPL,Persistencia,Medio,Bajo,10
Regimen actual,AAPL,Persistencia,Medio,Medio,267
Regimen actual,AAPL,Persistencia,Medio,Alto,14
Regimen actual,AAPL,Persistencia,Alto,Bajo,1
Regimen actual,AAPL,Persistencia,Alto,Medio,12
Regimen actual,AAPL,Persistencia,Alto,Alto,234
Regimen actual,AAPL,Regresion Logistica,Bajo,Bajo,199
Regimen actual,AAPL,Regresion Logistica,Bajo,Medio,12
Regimen actual,AAPL,Regresion Logistica,Bajo,Alto,0
Regimen actual,AAPL,Regresion Logistica,Medio,Bajo,13
Regimen actual,AAPL,Regresion Logistica,Medio,Medio,253
Regimen actual,AAPL,Regresion Logistica,Medio,Alto,25
Regimen actual,AAPL,Regresion Logistica,Alto,Bajo,1
Regimen actual,AAPL,Regresion Logistica,Alto,Medio,9
Regimen actual,AAPL,Regresion Logistica,Alto,Alto,237
Regimen actual,AAPL,Arbol de Decision,Bajo,Bajo,200
Regimen actual,AAPL,Arbol de Decision,Bajo,Medio,11
Regimen actual,AAPL,Arbol de Decision,Bajo,Alto,0
Regimen actual,AAPL,Arbol de Decision,Medio,Bajo,12
Regimen actual,AAPL,Arbol de Decision,Medio,Medio,269
Regimen actual,AAPL,Arbol de Decision,Medio,Alto,10
Regimen actual,AAPL,Arbol de Decision,Alto,Bajo,2
Regimen actual,AAPL,Arbol de Decision,Alto,Medio,15
Regimen actual,AAPL,Arbol de Decision,Alto,Alto,230
Regimen actual,AAPL,Random Forest,Bajo,Bajo,199
Regimen actual,AAPL,Random Forest,Bajo,Medio,12
Regimen actual,AAPL,Random Forest,Bajo,Alto,0
Regimen actual,AAPL,Random Forest,Medio,Bajo,10
Regimen actual,AAPL,Random Forest,Medio,Medio,268
Regimen actual,AAPL,Random Forest,Medio,Alto,13
Regimen actual,AAPL,Random Forest,Alto,Bajo,1
Regimen actual,AAPL,Random Forest,Alto,Medio,13
Regimen actual,AAPL,Random Forest,Alto,Alto,233
Regimen actual,AAPL,XGBoost,Bajo,Bajo,198
Regimen actual,AAPL,XGBoost,Bajo,Medio,13
Regimen actual,AAPL,XGBoost,Bajo,Alto,0
Regimen actual,AAPL,XGBoost,Medio,Bajo,10
Regimen actual,AAPL,XGBoost,Medio,Medio,268
Regimen actual,AAPL,XGBoost,Medio,Alto,13
Regimen actual,AAPL,XGBoost,Alto,Bajo,0
Regimen actual,AAPL,XGBoost,Alto,Medio,15
Regimen actual,AAPL,XGBoost,Alto,Alto,232
Regimen actual,AAPL,SVM,Bajo,Bajo,160
Regimen actual,AAPL,SVM,Bajo,Medio,51
Regimen actual,AAPL,SVM,Bajo,Alto,0
Regimen actual,AAPL,SVM,Medio,Bajo,13
Regimen actual,AAPL,SVM,Medio,Medio,261
Regimen actual,AAPL,SVM,Medio,Alto,17
Regimen actual,AAPL,SVM,Alto,Bajo,0
Regimen actual,AAPL,SVM,Alto,Medio,24
Regimen actual,AAPL,SVM,Alto,Alto,223
Regimen actual,AMZN,Persistencia,Bajo,Bajo,40
Regimen actual,AMZN,Persistencia,Bajo,Medio,8
Regimen actual,AMZN,Persistencia,Bajo,Alto,0
Regimen actual,AMZN,Persistencia,Medio,Bajo,8
Regimen actual,AMZN,Persistencia,Medio,Medio,186
Regimen actual,AMZN,Persistencia,Medio,Alto,20
Regimen actual,AMZN,Persistencia,Alto,Bajo,0
Regimen actual,AMZN,Persistencia,Alto,Medio,20
Regimen actual,AMZN,Persistencia,Alto,Alto,467
Regimen actual,AMZN,Regresion Logistica,Bajo,Bajo,34
Regimen actual,AMZN,Regresion Logistica,Bajo,Medio,14
Regimen actual,AMZN,Regresion Logistica,Bajo,Alto,0
Regimen actual,AMZN,Regresion Logistica,Medio,Bajo,4
Regimen actual,AMZN,Regresion Logistica,Medio,Medio,191
Regimen actual,AMZN,Regresion Logistica,Medio,Alto,19
Regimen actual,AMZN,Regresion Logistica,Alto,Bajo,0
Regimen actual,AMZN,Regresion Logistica,Alto,Medio,25
Regimen actual,AMZN,Regresion Logistica,Alto,Alto,462
Regimen actual,AMZN,Arbol de Decision,Bajo,Bajo,40
Regimen actual,AMZN,Arbol de Decision,Bajo,Medio,8
Regimen actual,AMZN,Arbol de Decision,Bajo,Alto,0
Regimen actual,AMZN,Arbol de Decision,Medio,Bajo,8
Regimen actual,AMZN,Arbol de Decision,Medio,Medio,185
Regimen actual,AMZN,Arbol de Decision,Medio,Alto,21
Regimen actual,AMZN,Arbol de Decision,Alto,Bajo,0
Regimen actual,AMZN,Arbol de Decision,Alto,Medio,18
Regimen actual,AMZN,Arbol de Decision,Alto,Alto,469
Regimen actual,AMZN,Random Forest,Bajo,Bajo,37
Regimen actual,AMZN,Random Forest,Bajo,Medio,11
Regimen actual,AMZN,Random Forest,Bajo,Alto,0
Regimen actual,AMZN,Random Forest,Medio,Bajo,4
Regimen actual,AMZN,Random Forest,Medio,Medio,192
Regimen actual,AMZN,Random Forest,Medio,Alto,18
Regimen actual,AMZN,Random Forest,Alto,Bajo,0
Regimen actual,AMZN,Random Forest,Alto,Medio,24
Regimen actual,AMZN,Random Forest,Alto,Alto,463
Regimen actual,AMZN,XGBoost,Bajo,Bajo,32
Regimen actual,AMZN,XGBoost,Bajo,Medio,16
Regimen actual,AMZN,XGBoost,Bajo,Alto,0
Regimen actual,AMZN,XGBoost,Medio,Bajo,6
Regimen actual,AMZN,XGBoost,Medio,Medio,187
Regimen actual,AMZN,XGBoost,Medio,Alto,21
Regimen actual,AMZN,XGBoost,Alto,Bajo,0
Regimen actual,AMZN,XGBoost,Alto,Medio,19
Regimen actual,AMZN,XGBoost,Alto,Alto,468
Regimen actual,AMZN,SVM,Bajo,Bajo,33
Regimen actual,AMZN,SVM,Bajo,Medio,15
Regimen actual,AMZN,SVM,Bajo,Alto,0
Regimen actual,AMZN,SVM,Medio,Bajo,5
Regimen actual,AMZN,SVM,Medio,Medio,197
Regimen actual,AMZN,SVM,Medio,Alto,12
Regimen actual,AMZN,SVM,Alto,Bajo,0
Regimen actual,AMZN,SVM,Alto,Medio,41
Regimen actual,AMZN,SVM,Alto,Alto,446
Regimen actual,GOOGL,Persistencia,Bajo,Bajo,48
Regimen actual,GOOGL,Persistencia,Bajo,Medio,8
Regimen actual,GOOGL,Persistencia,Bajo,Alto,0
Regimen actual,GOOGL,Persistencia,Medio,Bajo,8
Regimen actual,GOOGL,Persistencia,Medio,Medio,110
Regimen actual,GOOGL,Persistencia,Medio,Alto,16
Regimen actual,GOOGL,Persistencia,Alto,Bajo,0
Regimen actual,GOOGL,Persistencia,Alto,Medio,17
Regimen actual,GOOGL,Persistencia,Alto,Alto,542
Regimen actual,GOOGL,Regresion Logistica,Bajo,Bajo,41
Regimen actual,GOOGL,Regresion Logistica,Bajo,Medio,15
Regimen actual,GOOGL,Regresion Logistica,Bajo,Alto,0
Regimen actual,GOOGL,Regresion Logistica,Medio,Bajo,2
Regimen actual,GOOGL,Regresion Logistica,Medio,Medio,119
Regimen actual,GOOGL,Regresion Logistica,Medio,Alto,13
Regimen actual,GOOGL,Regresion Logistica,Alto,Bajo,0
Regimen actual,GOOGL,Regresion Logistica,Alto,Medio,40
Regimen actual,GOOGL,Regresion Logistica,Alto,Alto,519
Regimen actual,GOOGL,Arbol de Decision,Bajo,Bajo,47
Regimen actual,GOOGL,Arbol de Decision,Bajo,Medio,9
