activo,modelo,accuracy,precision_macro,recall_macro,f1_macro
AAPL,Regresion Logistica,0.9292,0.9313,0.9308,0.931
AAPL,Arbol de Decision,0.9012,0.9057,0.9027,0.9035
AAPL,Random Forest,0.9319,0.934,0.9325,0.9332
AAPL,XGBoost,0.9119,0.9159,0.9122,0.9138
AAPL,SVM,0.8705,0.8828,0.867,0.8723
AMZN,Regresion Logistica,0.9332,0.9381,0.8982,0.9153
AMZN,Arbol de Decision,0.9332,0.9238,0.9229,0.9224
AMZN,Random Forest,0.9426,0.9383,0.9044,0.9194
AMZN,XGBoost,0.9426,0.9326,0.9231,0.9276
AMZN,SVM,0.9132,0.9193,0.877,0.895
GOOGL,Regresion Logistica,0.9212,0.9194,0.9239,0.9214
GOOGL,Arbol de Decision,0.5674,0.7643,0.7059,0.6437
GOOGL,Random Forest,0.5688,0.769,0.7116,0.6434
GOOGL,XGBoost,0.9065,0.9072,0.9142,0.9091
GOOGL,SVM,0.8425,0.8781,0.764,0.7896
TSLA,Regresion Logistica,0.9226,0.9107,0.9134,0.912
TSLA,Arbol de Decision,0.9119,0.9064,0.9041,0.9049
TSLA,Random Forest,0.9146,0.9049,0.9069,0.9058
TSLA,XGBoost,0.9079,0.9003,0.8978,0.8987
TSLA,SVM,0.8999,0.8934,0.8926,0.8929
