activo,modelo,accuracy,precision_macro,recall_macro,f1_macro
AAPL,Persistencia,0.9346,0.9362,0.936,0.9361
AAPL,Regresion Logistica,0.9199,0.9207,0.924,0.9218
AAPL,Arbol de Decision,0.9332,0.9349,0.9345,0.9346
AAPL,Random Forest,0.9346,0.9365,0.9358,0.9361
AAPL,XGBoost,0.9319,0.9348,0.9329,0.9338
AAPL,SVM,0.8598,0.8769,0.8527,0.8606
AMZN,Persistencia,0.9252,0.8871,0.8871,0.8871
AMZN,Regresion Logistica,0.9172,0.8952,0.8498,0.8685
AMZN,Arbol de Decision,0.9266,0.8891,0.887,0.888
AMZN,Random Forest,0.9239,0.9036,0.8729,0.8863
AMZN,XGBoost,0.9172,0.8805,0.8338,0.8537
AMZN,SVM,0.9025,0.8736,0.8413,0.8517
GOOGL,Persistencia,0.9346,0.8811,0.8825,0.8818
GOOGL,Regresion Logistica,0.9065,0.871,0.8495,0.8508
GOOGL,Arbol de Decision,0.9332,0.8782,0.8766,0.8774
GOOGL,Random Forest,0.9332,0.8764,0.8804,0.8782
GOOGL,XGBoost,0.9306,0.8734,0.8773,0.8752
GOOGL,SVM,0.8945,0.8459,0.8741,0.8552
TSLA,Persistencia,0.9252,0.8955,0.8955,0.8955
TSLA,Regresion Logistica,0.9239,0.8967,0.9034,0.8999
TSLA,Arbol de Decision,0.8812,0.8371,0.8252,0.8307
TSLA,Random Forest,0.9159,0.8797,0.8545,0.8659
TSLA,XGBoost,0.9279,0.8986,0.89,0.8942
TSLA,SVM,0.9025,0.8519,0.856,0.8536
